ID,Licence,Source link,Description,Download
fr-se-OM2,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Transport in La Ciotat and Ceyreste,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/392298afa5d73d6cd0cc4992fb5614a4
fr-se-OAC,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Communauté du Pays d'Aix,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/f62cfbbe19a51487bf4d6ce8e3972ad3
fr-se-SIN,SNCF,https://ressources.data.sncf.com/explore/,National Train (SNCF),https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/78e770996a411e1262d855b6d66609e9
fr-se-OVO,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Transports of Voironnais contry,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/b2095dc978e89a6da4f7d80631f43b13
fr-se-OOC,NC,NC,NC,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/a355b02c75766b386e01b1fe4b0fc5c8
fr-se-OAZ,,http://transport.data.gouv.fr,Transport of Annecy,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/700bb6810017931f9b69400607f6ec67
fr-se-O13,ETALAB,https://www.lepilote.com/fr/open-data/83,Transport network of the department 13,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/cf5cd4d94f25cf6ca234c12a13a10973
fr-se-DGL,Licence engagée,https://data.grandlyon.com/,Transport of Lyon,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/ec88e19864eb78cf79f7808ab9bcb50b
fr-se-OM4,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,"Marseille suburbs : Carry-le-Rouet, Chateauneuf-les-Martigues, Sausset-les-Pins, Ensues-la-Redonne, Le Rove",https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/39bebcbe91889405b90af6be95bd3e6e
fr-se-OAE,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,"Pays d’Aubagne et de l’Étoile, bus de l'agglo",https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/c03c73c61b8acd6110df178f822c1148
fr-se-OIA,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Transport of Bourgoin Jallieu,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/a768f19c4e8fa1380236edfa840a1fc5
fr-se-OPD,ODbL,http://transport.data.gouv.fr,Transport of Pays de Grasse,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/40a0a67ba5456e102baa6162a3cc46ad
fr-se-ORX,Licence engagée,https://data.grandlyon.com,Service Rhônexpress,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/e82608a804753633d8314ac390469611
fr-se-OCZ,ODbL,https://donnees.grandchambery.fr/,Transport of Chambery,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/7bb3a7e0531c651645a0d1a658065529
fr-se-O38,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Departement Transport in Isère,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/ce870e9252b3783f2e5733228314fe07
fr-se-OET,LO/OL,https://www.lepilote.com/fr/open-data/83,Local transports of the Etang de Berre,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/dc123c06552c7100aba352f668d49d89
fr-se-OM5,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,"Marseille suburbs : Cassis, Carnoux-en-Provence, Roquefort-la-Bédoule",https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/73537ba001f006de298582a58efedb5b
fr-se-OM7,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,"Marseille suburbs : Allauch, Plan-de-Cuques",https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/8abea48776510e1785cccbe5e5b3b26e
fr-se-OM3,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Boat between Marseille and if island,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/ec62780b34157c070a9abc253e29bc97
fr-se-OZU,LO,http://opendata.nicecotedazur.org/data/dataset/export-quotidien-au-format-gtfs-du-reseau-de-transport-lignes-d-azur#,Transport of Nice City,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/6c3ac24a9ea1d73a6d47f0fd86902553
fr-se-OM6,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,transport in Gémenos,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/8615a41d47e710129f0a0f8e0a8a4dde
fr-se-OLE,LO/OL,https://trouver.datasud.fr/dataset?groups=mobilite-et-transports,Regional Coaches Transport of Provence-Alpes-Côte d'Azur,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/3b9aab1da4a9af55e5108f37bc27c5f2
fr-se-OGE,ODbL,https://www.itinisere.fr/fr/donnees-open-data/169/OpenData/Index,Crolles - Grésivaudan Transports,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/91ef0b277bdf11a85f13a75820dad0a2
fr-se-OMT,Etalab,https://www.reseaumistral.com/fr/open-data/80,Mistral transport network in Toulon,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/be0f3cca1dffc99bce8733e596174393
fr-se-OZB,ODbL,http://transport.data.gouv.fr/,Local transport of Béziers,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/f9f63d02b9f84cf5c9e63170c9bcb3d8
fr-se-OSX,NC,NC,NC,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/2699fab4e114491efbf427d521c1ea82
fr-se-OMA,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Local transports of West Provence and Etang de Berre,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/49befeda8101414b6b1b8906b84a28fb
fr-se-OAB,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Transport of Aix en Provence,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/5d209569bf8c567ff9fc53d3de6c1cbe
fr-se-STE,SNCF,https://ressources.data.sncf.com/,Regional transport (SNCF),https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/1be0d921cee49ce8f73d9baadb2d1bb0
fr-se-OGR,ODbL,http://transport.data.gouv.fr,Transport of Grenoble city,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/76e522daa1a4b99ca9f9d87f5ddc2253
fr-se-OMP,ODbL,http://data.montpellier3m.fr/dataset/offre-de-transport-tam-en-gtfs,Local transports of Montpellier,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/a23074d293f5eaa19b3c641d08650fcf
fr-se-OGU,ODbL,https://transport.data.gouv.fr/,Transport of Le Lac du Bourget Agglomeration,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/414b84f18c13ba4f5027bd36c69c9a94
fr-se-OHL,ODbL,https://static.data.gouv.fr,Transport network Cap'Bus,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/55a8a1ca3a48563bf66fd0b751b84a11
fr-se-ONL,NC,NC,NC,https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/5bc3a6274bd5a18a4b420ca4e831c8e9
fr-se-OM1,LO/OL,http://opendata.regionpaca.fr/fileadmin/user_upload/tx_ausyopendata/licences/Licence-Ouverte-Open-Licence-ETALAB.pdf,Transport of Marseille (RTM),https://navitia.opendatasoft.com/api/datasets/1.0/fr-se/images/b4f882eb4d9d3e31a0ed187bdf5ab859
